census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
350280405000027,2000,original,meioa1,5,755,151,from 0.5 to 1 mw
350280405000027,2000,original,1a2sm,12,3217,268.0833333333333,from 1 to 2 mw
350280405000027,2000,original,2a3sm,5,1800,360,from 2 to 3 mw
350280405000027,2000,original,3a5sm,15,8930,595.3333333333334,from 3 to 5 mw
350280405000027,2000,original,5a10sm,40,41125,1028.125,from 5 to 10 mw
350280405000027,2000,original,10a15s,17,33400,1964.7058823529412,from 10 to 15 mw
350280405000027,2000,original,15a20s,15,40403,2693.5333333333333,from 10 to 20 mw
350280405000027,2000,original,aci20s,16,91100,5693.75,above 20 mw
350280405000157,2000,original,meioa1,15,2203,146.86666666666667,from 0.5 to 1 mw
350280405000157,2000,original,1a2sm,17,4371,257.11764705882354,from 1 to 2 mw
350280405000157,2000,original,2a3sm,18,7125,395.8333333333333,from 2 to 3 mw
350280405000157,2000,original,3a5sm,34,20310,597.3529411764706,from 3 to 5 mw
350280405000157,2000,original,5a10sm,48,52430,1092.2916666666667,from 5 to 10 mw
350280405000157,2000,original,10a15s,13,24246,1865.076923076923,from 10 to 15 mw
350280405000157,2000,original,15a20s,7,18200,2600,from 10 to 20 mw
350280405000157,2000,original,aci20s,8,28745,3593.125,above 20 mw
350280405000077,2000,original,meioa1,17,2386,140.35294117647058,from 0.5 to 1 mw
350280405000077,2000,original,1a2sm,20,4599,229.95,from 1 to 2 mw
350280405000077,2000,original,2a3sm,14,5600,400,from 2 to 3 mw
350280405000077,2000,original,3a5sm,24,14114,588.0833333333334,from 3 to 5 mw
350280405000077,2000,original,5a10sm,26,26743,1028.576923076923,from 5 to 10 mw
350280405000077,2000,original,10a15s,4,8300,2075,from 10 to 15 mw
350280405000077,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
350280405000077,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
350280405000182,2000,original,meioa1,6,904,150.66666666666666,from 0.5 to 1 mw
350280405000182,2000,original,1a2sm,25,6442,257.68,from 1 to 2 mw
350280405000182,2000,original,2a3sm,41,16289,397.2926829268293,from 2 to 3 mw
350280405000182,2000,original,3a5sm,56,32896,587.4285714285714,from 3 to 5 mw
350280405000182,2000,original,5a10sm,34,35189,1034.9705882352941,from 5 to 10 mw
