census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
350600305000228,2000,original,meiosm,2,0,0,from 0 to 0.5 mw
350600305000228,2000,original,meioa1,32,4780,149.375,from 0.5 to 1 mw
350600305000228,2000,original,1a2sm,54,13230,245,from 1 to 2 mw
350600305000228,2000,original,2a3sm,41,15569,379.7317073170732,from 2 to 3 mw
350600305000228,2000,original,3a5sm,63,34668,550.2857142857143,from 3 to 5 mw
350600305000228,2000,original,5a10sm,60,63380,1056.3333333333333,from 5 to 10 mw
350600305000228,2000,original,10a15s,5,8800,1760,from 10 to 15 mw
350600305000228,2000,original,15a20s,4,0,0,from 0 to 0.5 mw
350600305000386,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350600305000386,2000,original,meioa1,13,1891,145.46153846153845,from 0.5 to 1 mw
350600305000386,2000,original,1a2sm,40,10457,261.425,from 1 to 2 mw
350600305000386,2000,original,2a3sm,35,13761,393.1714285714286,from 2 to 3 mw
350600305000386,2000,original,3a5sm,44,25637,582.6590909090909,from 3 to 5 mw
350600305000386,2000,original,5a10sm,17,15845,932.0588235294117,from 5 to 10 mw
350600305000386,2000,original,10a15s,1,0,0,from 0 to 0.5 mw
350600305000386,2000,original,15a20s,3,0,0,from 0 to 0.5 mw
350600305000206,2000,original,meioa1,13,1849,142.23076923076923,from 0.5 to 1 mw
350600305000206,2000,original,1a2sm,33,8647,262.030303030303,from 1 to 2 mw
350600305000206,2000,original,2a3sm,45,17674,392.75555555555553,from 2 to 3 mw
350600305000206,2000,original,3a5sm,63,37328,592.5079365079365,from 3 to 5 mw
350600305000206,2000,original,5a10sm,70,76543,1093.4714285714285,from 5 to 10 mw
350600305000206,2000,original,10a15s,13,24750,1903.8461538461538,from 10 to 15 mw
350600305000206,2000,original,15a20s,5,13580,2716,from 10 to 20 mw
350600305000206,2000,original,aci20s,6,39000,6500,above 20 mw
350600305000266,2000,original,meioa1,4,600,150,from 0.5 to 1 mw
350600305000266,2000,original,1a2sm,10,2727,272.7,from 1 to 2 mw
350600305000266,2000,original,2a3sm,22,0,0,from 0 to 0.5 mw
350600305000266,2000,original,3a5sm,53,31156,587.8490566037735,from 3 to 5 mw
350600305000266,2000,original,5a10sm,36,35442,984.5,from 5 to 10 mw
350600305000266,2000,original,10a15s,2,0,0,from 0 to 0.5 mw
350600305000306,2000,original,meiosm,2,0,0,from 0 to 0.5 mw
350600305000306,2000,original,meioa1,13,1806,138.92307692307693,from 0.5 to 1 mw
350600305000306,2000,original,1a2sm,23,5720,248.69565217391303,from 1 to 2 mw
350600305000306,2000,original,2a3sm,7,2503,357.57142857142856,from 2 to 3 mw
350600305000306,2000,original,3a5sm,5,2655,531,from 3 to 5 mw
350600305000306,2000,original,10a15s,1,0,0,from 0 to 0.5 mw
350600305000385,2000,original,1a2sm,1,0,0,from 0 to 0.5 mw
350600305000385,2000,original,2a3sm,2,0,0,from 0 to 0.5 mw
350600305000385,2000,original,3a5sm,3,0,0,from 0 to 0.5 mw
350600305000385,2000,original,5a10sm,8,7900,987.5,from 5 to 10 mw
350600305000385,2000,original,10a15s,1,0,0,from 0 to 0.5 mw
350600305000385,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
350600305000385,2000,original,aci20s,2,0,0,from 0 to 0.5 mw
350600305000384,2000,original,meioa1,1,0,0,from 0 to 0.5 mw
350600305000384,2000,original,1a2sm,3,0,0,from 0 to 0.5 mw
350600305000384,2000,original,2a3sm,3,0,0,from 0 to 0.5 mw
350600305000384,2000,original,3a5sm,8,4954,619.25,from 3 to 5 mw
350600305000384,2000,original,5a10sm,18,19930,1107.2222222222222,from 5 to 10 mw
350600305000384,2000,original,10a15s,9,15660,1740,from 10 to 15 mw
350600305000384,2000,original,15a20s,3,0,0,from 0 to 0.5 mw
350600305000265,2000,original,meioa1,2,0,0,from 0 to 0.5 mw
350600305000265,2000,original,1a2sm,17,4492,264.2352941176471,from 1 to 2 mw
350600305000265,2000,original,2a3sm,19,7630,401.57894736842104,from 2 to 3 mw
350600305000265,2000,original,3a5sm,53,30445,574.433962264151,from 3 to 5 mw
350600305000265,2000,original,5a10sm,29,28901,996.5862068965517,from 5 to 10 mw
350600305000265,2000,original,10a15s,1,0,0,from 0 to 0.5 mw
350600305000310,2000,original,meioa1,2,0,0,from 0 to 0.5 mw
350600305000310,2000,original,1a2sm,5,0,0,from 0 to 0.5 mw
350600305000310,2000,original,2a3sm,8,3185,398.125,from 2 to 3 mw
350600305000310,2000,original,3a5sm,31,18754,604.9677419354839,from 3 to 5 mw
350600305000310,2000,original,5a10sm,61,65661,1076.4098360655737,from 5 to 10 mw
350600305000310,2000,original,10a15s,20,38400,1920,from 10 to 15 mw
350600305000310,2000,original,15a20s,8,19500,2437.5,from 10 to 20 mw
350600305000310,2000,original,aci20s,5,23756,4751.2,above 20 mw
350600305000267,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350600305000267,2000,original,meioa1,36,5101,141.69444444444446,from 0.5 to 1 mw
350600305000267,2000,original,1a2sm,41,10691,260.7560975609756,from 1 to 2 mw
350600305000267,2000,original,2a3sm,50,19538,390.76,from 2 to 3 mw
350600305000267,2000,original,3a5sm,69,39303,569.6086956521739,from 3 to 5 mw
350600305000267,2000,original,5a10sm,37,35294,953.8918918918919,from 5 to 10 mw
350600305000267,2000,original,10a15s,1,0,0,from 0 to 0.5 mw
350600305000267,2000,original,15a20s,2,0,0,from 0 to 0.5 mw
350600305000267,2000,original,aci20s,2,0,0,from 0 to 0.5 mw
350600305000209,2000,original,meioa1,9,1215,135,from 0.5 to 1 mw
350600305000209,2000,original,1a2sm,26,7080,272.3076923076923,from 1 to 2 mw
350600305000209,2000,original,2a3sm,25,9749,389.96,from 2 to 3 mw
350600305000209,2000,original,3a5sm,26,15488,595.6923076923077,from 3 to 5 mw
350600305000209,2000,original,5a10sm,16,16101,1006.3125,from 5 to 10 mw
350600305000209,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
350600305000209,2000,original,aci20s,2,0,0,from 0 to 0.5 mw
350600305000305,2000,original,meiosm,3,0,0,from 0 to 0.5 mw
