census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
352900505000062,2000,original,meioa1,28,4228,151,from 0.5 to 1 mw
352900505000062,2000,original,1a2sm,38,9941,261.60526315789474,from 1 to 2 mw
352900505000062,2000,original,2a3sm,24,9299,387.4583333333333,from 2 to 3 mw
352900505000062,2000,original,3a5sm,36,22032,612,from 3 to 5 mw
352900505000062,2000,original,5a10sm,21,21969,1046.142857142857,from 5 to 10 mw
352900505000062,2000,original,10a15s,3,0,0,from 0 to 0.5 mw
352900505000062,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
352900505000062,2000,original,aci20s,2,0,0,from 0 to 0.5 mw
352900505000127,2000,original,meioa1,11,1659,150.8181818181818,from 0.5 to 1 mw
352900505000127,2000,original,1a2sm,28,6832,244,from 1 to 2 mw
352900505000127,2000,original,2a3sm,25,9937,397.48,from 2 to 3 mw
352900505000127,2000,original,3a5sm,34,19729,580.2647058823529,from 3 to 5 mw
352900505000127,2000,original,5a10sm,17,18687,1099.235294117647,from 5 to 10 mw
352900505000127,2000,original,10a15s,4,0,0,from 0 to 0.5 mw
352900505000127,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
352900505000053,2000,original,meioa1,14,2050,146.42857142857142,from 0.5 to 1 mw
352900505000053,2000,original,1a2sm,17,4458,262.2352941176471,from 1 to 2 mw
352900505000053,2000,original,2a3sm,23,9357,406.82608695652175,from 2 to 3 mw
352900505000053,2000,original,3a5sm,41,24130,588.5365853658536,from 3 to 5 mw
352900505000053,2000,original,5a10sm,71,81030,1141.2676056338028,from 5 to 10 mw
352900505000053,2000,original,10a15s,20,38400,1920,from 10 to 15 mw
352900505000053,2000,original,15a20s,11,0,0,from 0 to 0.5 mw
352900505000053,2000,original,aci20s,2,0,0,from 0 to 0.5 mw
352900505000115,2000,original,meioa1,4,604,151,from 0.5 to 1 mw
352900505000115,2000,original,1a2sm,7,1942,277.42857142857144,from 1 to 2 mw
352900505000115,2000,original,2a3sm,21,7869,374.7142857142857,from 2 to 3 mw
352900505000115,2000,original,3a5sm,26,15930,612.6923076923077,from 3 to 5 mw
352900505000115,2000,original,5a10sm,35,39700,1134.2857142857142,from 5 to 10 mw
352900505000115,2000,original,10a15s,12,23900,1991.6666666666667,from 10 to 15 mw
352900505000115,2000,original,15a20s,3,0,0,from 0 to 0.5 mw
352900505000115,2000,original,aci20s,3,0,0,from 0 to 0.5 mw
352900505000112,2000,original,meioa1,26,3836,147.53846153846155,from 0.5 to 1 mw
352900505000112,2000,original,1a2sm,56,14065,251.16071428571428,from 1 to 2 mw
352900505000112,2000,original,2a3sm,52,20254,389.5,from 2 to 3 mw
352900505000112,2000,original,3a5sm,65,36568,562.5846153846154,from 3 to 5 mw
352900505000112,2000,original,5a10sm,66,69991,1060.469696969697,from 5 to 10 mw
352900505000112,2000,original,10a15s,22,42300,1922.7272727272727,from 10 to 15 mw
352900505000112,2000,original,15a20s,7,19600,2800,from 10 to 20 mw
352900505000112,2000,original,aci20s,8,42700,5337.5,above 20 mw
352900505000111,2000,original,meioa1,14,2089,149.21428571428572,from 0.5 to 1 mw
352900505000111,2000,original,1a2sm,11,2936,266.90909090909093,from 1 to 2 mw
352900505000111,2000,original,2a3sm,4,1446,361.5,from 2 to 3 mw
352900505000111,2000,original,3a5sm,9,5394,599.3333333333334,from 3 to 5 mw
352900505000111,2000,original,5a10sm,4,4900,1225,from 5 to 10 mw
352900505000111,2000,original,10a15s,5,9340,1868,from 10 to 15 mw
352900505000111,2000,original,15a20s,3,7600,2533.3333333333335,from 10 to 20 mw
352900505000111,2000,original,aci20s,5,40500,8100,above 20 mw
352900505000113,2000,original,meioa1,5,753,150.6,from 0.5 to 1 mw
352900505000113,2000,original,1a2sm,9,2349,261,from 1 to 2 mw
352900505000113,2000,original,2a3sm,15,5968,397.8666666666667,from 2 to 3 mw
352900505000113,2000,original,3a5sm,26,15646,601.7692307692307,from 3 to 5 mw
352900505000113,2000,original,5a10sm,37,39520,1068.1081081081081,from 5 to 10 mw
352900505000113,2000,original,10a15s,18,35101,1950.0555555555557,from 10 to 15 mw
352900505000113,2000,original,15a20s,9,25800,2866.6666666666665,from 10 to 20 mw
352900505000113,2000,original,aci20s,6,24100,4016.6666666666665,above 20 mw
352900505000107,2000,original,2a3sm,1,0,0,from 0 to 0.5 mw
352900505000107,2000,original,3a5sm,1,0,0,from 0 to 0.5 mw
352900505000107,2000,original,5a10sm,5,5360,1072,from 5 to 10 mw
352900505000107,2000,original,10a15s,6,11875,1979.1666666666667,from 10 to 15 mw
352900505000107,2000,original,15a20s,9,24900,2766.6666666666665,from 10 to 20 mw
352900505000107,2000,original,aci20s,13,96120,7393.846153846154,above 20 mw
352900505000123,2000,original,meioa1,8,1105,138.125,from 0.5 to 1 mw
352900505000123,2000,original,1a2sm,25,6446,257.84,from 1 to 2 mw
352900505000123,2000,original,2a3sm,36,13874,385.3888888888889,from 2 to 3 mw
352900505000123,2000,original,3a5sm,56,33080,590.7142857142857,from 3 to 5 mw
352900505000123,2000,original,5a10sm,47,49372,1050.468085106383,from 5 to 10 mw
352900505000123,2000,original,10a15s,4,7600,1900,from 10 to 15 mw
352900505000123,2000,original,15a20s,2,0,0,from 0 to 0.5 mw
352900505000123,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
352900505000122,2000,original,meioa1,12,1710,142.5,from 0.5 to 1 mw
352900505000122,2000,original,1a2sm,15,3907,260.46666666666664,from 1 to 2 mw
352900505000122,2000,original,2a3sm,30,11580,386,from 2 to 3 mw
352900505000122,2000,original,3a5sm,65,37619,578.7538461538461,from 3 to 5 mw
352900505000122,2000,original,5a10sm,71,77133,1086.380281690141,from 5 to 10 mw
352900505000122,2000,original,10a15s,4,0,0,from 0 to 0.5 mw
