census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
354140605000058,2000,original,meioa1,29,4304,148.41379310344828,from 0.5 to 1 mw
354140605000058,2000,original,1a2sm,41,10754,262.2926829268293,from 1 to 2 mw
354140605000058,2000,original,2a3sm,28,11082,395.7857142857143,from 2 to 3 mw
354140605000058,2000,original,3a5sm,30,17234,574.4666666666667,from 3 to 5 mw
354140605000058,2000,original,5a10sm,32,34455,1076.71875,from 5 to 10 mw
354140605000058,2000,original,10a15s,5,9207,1841.4,from 10 to 15 mw
354140605000058,2000,original,15a20s,7,19000,2714.285714285714,from 10 to 20 mw
354140605000058,2000,original,aci20s,7,44500,6357.142857142857,above 20 mw
354140605000097,2000,original,meioa1,6,904,150.66666666666666,from 0.5 to 1 mw
354140605000097,2000,original,1a2sm,15,3649,243.26666666666668,from 1 to 2 mw
354140605000097,2000,original,2a3sm,13,4969,382.2307692307692,from 2 to 3 mw
354140605000097,2000,original,3a5sm,21,12220,581.9047619047619,from 3 to 5 mw
354140605000097,2000,original,5a10sm,34,38587,1134.9117647058824,from 5 to 10 mw
354140605000097,2000,original,10a15s,20,38100,1905,from 10 to 15 mw
354140605000097,2000,original,15a20s,16,44600,2787.5,from 10 to 20 mw
354140605000097,2000,original,aci20s,14,84782,6055.857142857143,above 20 mw
354140605000159,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
354140605000159,2000,original,meioa1,21,3119,148.52380952380952,from 0.5 to 1 mw
354140605000159,2000,original,1a2sm,43,11475,266.86046511627904,from 1 to 2 mw
354140605000159,2000,original,2a3sm,40,15848,396.2,from 2 to 3 mw
354140605000159,2000,original,3a5sm,55,32731,595.1090909090909,from 3 to 5 mw
354140605000159,2000,original,5a10sm,22,22170,1007.7272727272727,from 5 to 10 mw
354140605000159,2000,original,10a15s,1,0,0,from 0 to 0.5 mw
354140605000159,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
354140605000159,2000,original,aci20s,2,0,0,from 0 to 0.5 mw
354140605000150,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
354140605000150,2000,original,meioa1,7,1055,150.71428571428572,from 0.5 to 1 mw
354140605000150,2000,original,1a2sm,44,11701,265.9318181818182,from 1 to 2 mw
354140605000150,2000,original,2a3sm,65,24966,384.0923076923077,from 2 to 3 mw
354140605000150,2000,original,3a5sm,93,54226,583.0752688172043,from 3 to 5 mw
354140605000150,2000,original,5a10sm,72,70896,984.6666666666666,from 5 to 10 mw
354140605000150,2000,original,10a15s,7,12930,1847.142857142857,from 10 to 15 mw
354140605000150,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
