census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
354980505000037,2000,original,meioa1,27,3983,147.5185185185185,from 0.5 to 1 mw
354980505000037,2000,original,1a2sm,25,6445,257.8,from 1 to 2 mw
354980505000037,2000,original,2a3sm,24,9531,397.125,from 2 to 3 mw
354980505000037,2000,original,3a5sm,32,18200,568.75,from 3 to 5 mw
354980505000037,2000,original,5a10sm,57,63435,1112.8947368421052,from 5 to 10 mw
354980505000037,2000,original,10a15s,11,20800,1890.909090909091,from 10 to 15 mw
354980505000037,2000,original,15a20s,5,14500,2900,from 10 to 20 mw
354980505000037,2000,original,aci20s,8,37400,4675,above 20 mw
354980505000270,2000,original,meioa1,10,1493,149.3,from 0.5 to 1 mw
354980505000270,2000,original,1a2sm,15,3876,258.4,from 1 to 2 mw
354980505000270,2000,original,2a3sm,24,9292,387.1666666666667,from 2 to 3 mw
354980505000270,2000,original,3a5sm,56,32621,582.5178571428571,from 3 to 5 mw
354980505000270,2000,original,5a10sm,72,81120,1126.6666666666667,from 5 to 10 mw
354980505000270,2000,original,10a15s,23,43707,1900.304347826087,from 10 to 15 mw
354980505000270,2000,original,15a20s,5,13500,2700,from 10 to 20 mw
354980505000270,2000,original,aci20s,12,55301,4608.416666666667,above 20 mw
354980505000078,2000,original,meioa1,27,3975,147.22222222222223,from 0.5 to 1 mw
354980505000078,2000,original,1a2sm,33,8362,253.3939393939394,from 1 to 2 mw
354980505000078,2000,original,2a3sm,28,10631,379.67857142857144,from 2 to 3 mw
354980505000078,2000,original,3a5sm,68,40177,590.8382352941177,from 3 to 5 mw
354980505000078,2000,original,5a10sm,84,93203,1109.5595238095239,from 5 to 10 mw
354980505000078,2000,original,10a15s,28,53820,1922.142857142857,from 10 to 15 mw
354980505000078,2000,original,15a20s,25,68650,2746,from 10 to 20 mw
354980505000078,2000,original,aci20s,15,69550,4636.666666666667,above 20 mw
354980505000095,2000,original,meioa1,5,755,151,from 0.5 to 1 mw
354980505000095,2000,original,1a2sm,2,0,0,from 0 to 0.5 mw
354980505000095,2000,original,2a3sm,9,3413,379.22222222222223,from 2 to 3 mw
354980505000095,2000,original,3a5sm,17,10250,602.9411764705883,from 3 to 5 mw
354980505000095,2000,original,5a10sm,60,70810,1180.1666666666667,from 5 to 10 mw
354980505000095,2000,original,10a15s,50,0,0,from 0 to 0.5 mw
354980505000095,2000,original,15a20s,33,94800,2872.7272727272725,from 10 to 20 mw
354980505000095,2000,original,aci20s,64,355869,5560.453125,above 20 mw
354980505000094,2000,original,meioa1,2,0,0,from 0 to 0.5 mw
354980505000094,2000,original,1a2sm,2,0,0,from 0 to 0.5 mw
354980505000094,2000,original,2a3sm,6,2400,400,from 2 to 3 mw
354980505000094,2000,original,3a5sm,13,7805,600.3846153846154,from 3 to 5 mw
